time_utc,satellite_1,satellite_2,distance_km
2025-04-06 04:19:28,COSMOS 1269,OPS 5390,9.559938807065834
2025-04-06 04:29:28,DRAGON ENDURANCE 4,PROGRESS MS-30,0.0
2025-04-06 04:29:28,DRAGON ENDURANCE 4,PROGRESS MS-29,0.0
2025-04-06 04:29:28,DRAGON ENDURANCE 4,SOYUZ MS-26,0.0
2025-04-06 04:29:28,DRAGON ENDURANCE 4,ISS (NAUKA),0.0
2025-04-06 04:29:28,DRAGON ENDURANCE 4,ISS (ZARYA),0.0
2025-04-06 04:29:28,PROGRESS MS-30,PROGRESS MS-29,0.0
2025-04-06 04:29:28,PROGRESS MS-30,SOYUZ MS-26,0.0
2025-04-06 04:29:28,PROGRESS MS-30,ISS (NAUKA),0.0
2025-04-06 04:29:28,PROGRESS MS-30,ISS (ZARYA),0.0
2025-04-06 04:29:28,COSMOS 2582,COSMOS 2581,0.15024888905578695
2025-04-06 04:29:28,TROLL,OTTER,3.955802235609967
2025-04-06 04:29:28,SUPERVIEW NEO-2 04,SUPERVIEW NEO-2 03,0.7615757612551609
2025-04-06 04:29:28,PROGRESS MS-29,SOYUZ MS-26,0.0
2025-04-06 04:29:28,PROGRESS MS-29,ISS (NAUKA),0.0
2025-04-06 04:29:28,PROGRESS MS-29,ISS (ZARYA),0.0
2025-04-06 04:29:28,TIANZHOU 8,SZ-19,0.0
2025-04-06 04:29:28,TIANZHOU 8,CSS (MENGTIAN),0.0
2025-04-06 04:29:28,TIANZHOU 8,CSS (WENTIAN),0.0
2025-04-06 04:29:28,TIANZHOU 8,CSS (TIANHE-1),0.0
2025-04-06 04:29:28,SZ-19,CSS (MENGTIAN),0.0
2025-04-06 04:29:28,SZ-19,CSS (WENTIAN),0.0
2025-04-06 04:29:28,SZ-19,CSS (TIANHE-1),0.0
2025-04-06 04:29:28,SOYUZ MS-26,ISS (NAUKA),0.0
2025-04-06 04:29:28,SOYUZ MS-26,ISS (ZARYA),0.0
2025-04-06 04:29:28,UMBRA-10,UMBRA-09,6.264751164891626
2025-04-06 04:29:28,TIANHUI 5D,TIANHUI 5C,1.0023032628800026
2025-04-06 04:29:28,TIANHUI 5D,SICH 1,7.09985006724308
2025-04-06 04:29:28,TIANHUI 5C,SICH 1,7.416195452380011
2025-04-06 04:29:28,STARLINK-31695,STARLINK-31068,9.435293257749521
2025-04-06 04:29:28,STARLINK-31451,STARLINK-31549,6.593588748281336
2025-04-06 04:29:28,TIANHUI 5B,TIANHUI 5A,0.531162700315117
2025-04-06 04:29:28,CSS (MENGTIAN),CSS (WENTIAN),0.0
2025-04-06 04:29:28,CSS (MENGTIAN),CSS (TIANHE-1),0.0
2025-04-06 04:29:28,CSS (WENTIAN),CSS (TIANHE-1),0.0
2025-04-06 04:29:28,TIANHUI 2-02B,TIANHUI 2-02A,1.1345304651575594
2025-04-06 04:29:28,ISS (NAUKA),ISS (ZARYA),0.0
2025-04-06 04:29:28,MEV-2,INTELSAT 1002,0.0
2025-04-06 04:29:28,MEV-1,INTELSAT 901,0.0
2025-04-06 04:29:28,TIANHUI 2-01B,TIANHUI 2-01A,0.8669980203936519
2025-04-06 04:29:28,O3B FM19,O3B FM13,5.38780389826292
2025-04-06 04:29:28,TANDEM X,TERRA SAR X,0.35950583342248593
